Timestamp,Email Address,B?n ?ã tham gia ?o ?i?n não ch?a,Ng??i k? thu?t viên chính (th??ng là Danh),Giá tr? món quà (*10k VN?),Kho?ng th?i gian m?t l?n ?o (gi?),B?n có mu?n tham gia ?o sau khi th?c hi?n kh?o sát này không,Ng??i k? thu?t viên chính (th??ng là Danh),Giá tr? món quà (*10k VN?),Kho?ng th?i gian m?t l?n ?o (gi?),B?n có mu?n tham gia ?o vào l?n sau n?a hay không (t?t nhiên là n?u nhóm có c?i thi?n)
10/16/2022 23:02:10,,Ch?a tham gia ?o,Chê,10,1,Không,,,,
10/16/2022 23:03:06,,?ã tham gia ?o r?i,Danh,10,2,Có,,,,
10/16/2022 23:06:57,,Ch?a tham gia ?o,Yub,10,1,Không,,,,
10/17/2022 16:02:07,,Ch?a tham gia ?o,Cút,10,1,Không,,,,
10/17/2022 16:02:26,,?ã tham gia ?o r?i,Cút,10,3,Không,,,,
10/25/2022 14:03:10,,Ch?a tham gia ?o,Qu?c,10,1,Không,,,,
10/25/2022 14:04:36,,?ã tham gia ?o r?i,?inh Công L?i,10,3,Không,,,,
10/25/2022 14:05:21,,Ch?a tham gia ?o,B?o,10,1,Không,,,,
10/25/2022 14:06:12,,Ch?a tham gia ?o,"Làm quá lâu, d? ??u, g?i ??u l?i quá c?c luôn á",1,1,Không,,,,
10/25/2022 14:06:48,,Ch?a tham gia ?o,B?o,10,3,Không,,,,
10/25/2022 14:07:14,,?ã tham gia ?o r?i,Nguy?n ??c Tôn,10,3,Có,,,,
10/25/2022 14:07:47,,?ã tham gia ?o r?i,Qu?c ,10,3,Không,,,,
10/25/2022 16:11:47,,Ch?a tham gia ?o,Danh,10,1,Không,,,,
